"guidance","tool","mean_exec_per_sec","median","standard_dev"
"pest","ant",42.7565530471204,30.67,56.3864401757931
"pest","bcel",1359.97420739923,1356.67,254.324621781709
"pest","closure",89.4404176791689,93.33,38.0660766821634
"pest","maven",463.244449313321,500,213.8539970363
"pest","rhino",178.513914460216,178.81,82.4776038040308
"pest2","ant",41.1859034274899,29.9,54.1224133145336
"pest2","bcel",1340.14900011229,1343.33,239.789732058126
"pest2","closure",81.5634259821598,82.78,38.5747601412602
"pest2","maven",442.462377414562,466.67,207.414973414964
"pest2","rhino",197.099919586043,201.99,76.5042677742742
"zest","ant",41.5618200005481,29.41,52.3030814194947
"zest","bcel",1109.30013209753,1100,163.555673969447
"zest","closure",78.148788215231,77.81,39.2750154888814
"zest","maven",302.394168061544,287.685,179.000156766195
"zest","rhino",141.768843379847,140.98,80.9939753518302
