benchmark,exception,tool,mtf,repeatibility
ant,java.lang.IllegalStateException,zest,179.3,1.0
ant,java.lang.IllegalStateException,pest,104.1,1.0
ant,java.lang.IllegalStateException,pest2,109.9,1.0
closure,java.lang.NullPointerException,zest,116.7,1.0
closure,java.lang.NullPointerException,pest,15.4,1.0
closure,java.lang.NullPointerException,pest2,18.2,1.0
rhino,java.lang.IllegalStateException,zest,19.8,1.0
rhino,java.lang.IllegalStateException,pest,8.6,1.0
rhino,java.lang.IllegalStateException,pest2,14.4,1.0
rhino,java.lang.NullPointerException,zest,25.2,1.0
rhino,java.lang.NullPointerException,pest,17.4,1.0
rhino,java.lang.NullPointerException,pest2,19.6,1.0
rhino,java.lang.VerifyError,zest,110.0,1.0
rhino,java.lang.VerifyError,pest2,68.66666666666667,0.9
rhino,java.lang.VerifyError,pest,58.0,0.6
rhino,java.lang.ClassCastException,zest,130.0,0.2
rhino,java.lang.ClassCastException,pest,99.33333333333333,0.3
rhino,java.lang.ClassCastException,pest2,192.5,0.2
bcel,org.apache.bcel.classfile.ClassFormatException,zest,29.3,1.0
bcel,org.apache.bcel.classfile.ClassFormatException,pest,13.5,1.0
bcel,org.apache.bcel.classfile.ClassFormatException,pest2,12.7,1.0
bcel,org.apache.bcel.verifier.exc.AssertionViolatedException,zest,29.3,1.0
bcel,org.apache.bcel.verifier.exc.AssertionViolatedException,pest,14.777777777777779,0.9
bcel,org.apache.bcel.verifier.exc.AssertionViolatedException,pest2,12.555555555555555,0.9
closure,java.lang.RuntimeException,pest2,195.0,0.1
