benchmark,repetition_id,exception,tool,mtf,repeatibility
ant,1,java.lang.IllegalStateException,zest,365,1.0
ant,2,java.lang.IllegalStateException,zest,163,1.0
ant,3,java.lang.IllegalStateException,zest,119,1.0
ant,4,java.lang.IllegalStateException,zest,136,1.0
ant,5,java.lang.IllegalStateException,zest,86,1.0
ant,6,java.lang.IllegalStateException,zest,308,1.0
ant,7,java.lang.IllegalStateException,zest,64,1.0
ant,8,java.lang.IllegalStateException,zest,94,1.0
ant,9,java.lang.IllegalStateException,zest,322,1.0
ant,10,java.lang.IllegalStateException,zest,136,1.0
ant,1,java.lang.IllegalStateException,pest,82,1.0
ant,2,java.lang.IllegalStateException,pest,154,1.0
ant,3,java.lang.IllegalStateException,pest,231,1.0
ant,4,java.lang.IllegalStateException,pest,64,1.0
ant,5,java.lang.IllegalStateException,pest,56,1.0
ant,6,java.lang.IllegalStateException,pest,94,1.0
ant,7,java.lang.IllegalStateException,pest,49,1.0
ant,8,java.lang.IllegalStateException,pest,96,1.0
ant,9,java.lang.IllegalStateException,pest,87,1.0
ant,10,java.lang.IllegalStateException,pest,128,1.0
ant,1,java.lang.IllegalStateException,pest2,76,1.0
ant,2,java.lang.IllegalStateException,pest2,51,1.0
ant,3,java.lang.IllegalStateException,pest2,150,1.0
ant,4,java.lang.IllegalStateException,pest2,53,1.0
ant,5,java.lang.IllegalStateException,pest2,97,1.0
ant,6,java.lang.IllegalStateException,pest2,46,1.0
ant,7,java.lang.IllegalStateException,pest2,163,1.0
ant,8,java.lang.IllegalStateException,pest2,192,1.0
ant,9,java.lang.IllegalStateException,pest2,171,1.0
ant,10,java.lang.IllegalStateException,pest2,100,1.0
closure,1,java.lang.NullPointerException,zest,5,1.0
closure,2,java.lang.NullPointerException,zest,35,1.0
closure,3,java.lang.NullPointerException,zest,14,1.0
closure,4,java.lang.NullPointerException,zest,1081,1.0
closure,5,java.lang.NullPointerException,zest,6,1.0
closure,6,java.lang.NullPointerException,zest,3,1.0
closure,7,java.lang.NullPointerException,zest,8,1.0
closure,8,java.lang.NullPointerException,zest,2,1.0
closure,9,java.lang.NullPointerException,zest,10,1.0
closure,10,java.lang.NullPointerException,zest,3,1.0
closure,1,java.lang.NullPointerException,pest,4,1.0
closure,2,java.lang.NullPointerException,pest,2,1.0
closure,3,java.lang.NullPointerException,pest,33,1.0
closure,4,java.lang.NullPointerException,pest,19,1.0
closure,5,java.lang.NullPointerException,pest,8,1.0
closure,6,java.lang.NullPointerException,pest,7,1.0
closure,7,java.lang.NullPointerException,pest,28,1.0
closure,8,java.lang.NullPointerException,pest,4,1.0
closure,9,java.lang.NullPointerException,pest,44,1.0
closure,10,java.lang.NullPointerException,pest,5,1.0
closure,1,java.lang.NullPointerException,pest2,53,1.0
closure,2,java.lang.NullPointerException,pest2,39,1.0
closure,3,java.lang.NullPointerException,pest2,7,1.0
closure,4,java.lang.NullPointerException,pest2,4,1.0
closure,5,java.lang.NullPointerException,pest2,10,1.0
closure,6,java.lang.NullPointerException,pest2,20,1.0
closure,7,java.lang.NullPointerException,pest2,27,1.0
closure,8,java.lang.NullPointerException,pest2,2,1.0
closure,9,java.lang.NullPointerException,pest2,1,1.0
closure,10,java.lang.NullPointerException,pest2,19,1.0
rhino,1,java.lang.IllegalStateException,zest,16,1.0
rhino,2,java.lang.IllegalStateException,zest,15,1.0
rhino,3,java.lang.IllegalStateException,zest,72,1.0
rhino,4,java.lang.IllegalStateException,zest,8,1.0
rhino,5,java.lang.IllegalStateException,zest,26,1.0
rhino,6,java.lang.IllegalStateException,zest,7,1.0
rhino,7,java.lang.IllegalStateException,zest,13,1.0
rhino,8,java.lang.IllegalStateException,zest,7,1.0
rhino,9,java.lang.IllegalStateException,zest,8,1.0
rhino,10,java.lang.IllegalStateException,zest,26,1.0
rhino,1,java.lang.IllegalStateException,pest,4,1.0
rhino,2,java.lang.IllegalStateException,pest,7,1.0
rhino,3,java.lang.IllegalStateException,pest,10,1.0
rhino,4,java.lang.IllegalStateException,pest,8,1.0
rhino,5,java.lang.IllegalStateException,pest,3,1.0
rhino,6,java.lang.IllegalStateException,pest,6,1.0
rhino,7,java.lang.IllegalStateException,pest,15,1.0
rhino,8,java.lang.IllegalStateException,pest,9,1.0
rhino,9,java.lang.IllegalStateException,pest,13,1.0
rhino,10,java.lang.IllegalStateException,pest,11,1.0
rhino,1,java.lang.IllegalStateException,pest2,17,1.0
rhino,2,java.lang.IllegalStateException,pest2,8,1.0
rhino,3,java.lang.IllegalStateException,pest2,30,1.0
rhino,4,java.lang.IllegalStateException,pest2,4,1.0
rhino,5,java.lang.IllegalStateException,pest2,11,1.0
rhino,6,java.lang.IllegalStateException,pest2,34,1.0
rhino,7,java.lang.IllegalStateException,pest2,9,1.0
rhino,8,java.lang.IllegalStateException,pest2,12,1.0
rhino,9,java.lang.IllegalStateException,pest2,15,1.0
rhino,10,java.lang.IllegalStateException,pest2,4,1.0
rhino,1,java.lang.NullPointerException,zest,16,1.0
rhino,2,java.lang.NullPointerException,zest,15,1.0
rhino,3,java.lang.NullPointerException,zest,72,1.0
rhino,4,java.lang.NullPointerException,zest,8,1.0
rhino,5,java.lang.NullPointerException,zest,80,1.0
rhino,6,java.lang.NullPointerException,zest,7,1.0
rhino,7,java.lang.NullPointerException,zest,13,1.0
rhino,8,java.lang.NullPointerException,zest,7,1.0
rhino,9,java.lang.NullPointerException,zest,8,1.0
rhino,10,java.lang.NullPointerException,zest,26,1.0
rhino,1,java.lang.NullPointerException,pest,4,1.0
rhino,2,java.lang.NullPointerException,pest,44,1.0
rhino,3,java.lang.NullPointerException,pest,11,1.0
rhino,4,java.lang.NullPointerException,pest,46,1.0
rhino,5,java.lang.NullPointerException,pest,3,1.0
rhino,6,java.lang.NullPointerException,pest,6,1.0
rhino,7,java.lang.NullPointerException,pest,22,1.0
rhino,8,java.lang.NullPointerException,pest,9,1.0
rhino,9,java.lang.NullPointerException,pest,18,1.0
rhino,10,java.lang.NullPointerException,pest,11,1.0
rhino,1,java.lang.NullPointerException,pest2,17,1.0
rhino,2,java.lang.NullPointerException,pest2,15,1.0
rhino,3,java.lang.NullPointerException,pest2,35,1.0
rhino,4,java.lang.NullPointerException,pest2,17,1.0
rhino,5,java.lang.NullPointerException,pest2,24,1.0
rhino,6,java.lang.NullPointerException,pest2,34,1.0
rhino,7,java.lang.NullPointerException,pest2,23,1.0
rhino,8,java.lang.NullPointerException,pest2,12,1.0
rhino,9,java.lang.NullPointerException,pest2,15,1.0
rhino,10,java.lang.NullPointerException,pest2,4,1.0
rhino,1,java.lang.VerifyError,zest,48,1.0
rhino,2,java.lang.VerifyError,zest,168,1.0
rhino,3,java.lang.VerifyError,zest,198,1.0
rhino,4,java.lang.VerifyError,zest,171,1.0
rhino,5,java.lang.VerifyError,zest,102,1.0
rhino,6,java.lang.VerifyError,zest,38,1.0
rhino,7,java.lang.VerifyError,zest,116,1.0
rhino,8,java.lang.VerifyError,zest,47,1.0
rhino,9,java.lang.VerifyError,zest,137,1.0
rhino,10,java.lang.VerifyError,zest,75,1.0
rhino,1,java.lang.VerifyError,pest2,93,0.9
rhino,2,java.lang.VerifyError,pest2,28,0.9
rhino,3,java.lang.VerifyError,pest2,90,0.9
rhino,4,java.lang.VerifyError,pest2,68,0.9
rhino,5,java.lang.VerifyError,pest2,134,0.9
rhino,6,java.lang.VerifyError,pest2,56,0.9
rhino,7,java.lang.VerifyError,pest2,13,0.9
rhino,8,java.lang.VerifyError,pest2,57,0.9
rhino,9,java.lang.VerifyError,pest2,79,0.9
rhino,1,java.lang.VerifyError,pest,59,0.6
rhino,2,java.lang.VerifyError,pest,10,0.6
rhino,3,java.lang.VerifyError,pest,120,0.6
rhino,4,java.lang.VerifyError,pest,85,0.6
rhino,5,java.lang.VerifyError,pest,49,0.6
rhino,6,java.lang.VerifyError,pest,25,0.6
rhino,1,java.lang.ClassCastException,zest,56,0.2
rhino,2,java.lang.ClassCastException,zest,204,0.2
rhino,1,java.lang.ClassCastException,pest,26,0.3
rhino,2,java.lang.ClassCastException,pest,92,0.3
rhino,3,java.lang.ClassCastException,pest,180,0.3
rhino,1,java.lang.ClassCastException,pest2,170,0.2
rhino,2,java.lang.ClassCastException,pest2,215,0.2
bcel,1,org.apache.bcel.classfile.ClassFormatException,zest,30,1.0
bcel,2,org.apache.bcel.classfile.ClassFormatException,zest,41,1.0
bcel,3,org.apache.bcel.classfile.ClassFormatException,zest,59,1.0
bcel,4,org.apache.bcel.classfile.ClassFormatException,zest,8,1.0
bcel,5,org.apache.bcel.classfile.ClassFormatException,zest,30,1.0
bcel,6,org.apache.bcel.classfile.ClassFormatException,zest,43,1.0
bcel,7,org.apache.bcel.classfile.ClassFormatException,zest,16,1.0
bcel,8,org.apache.bcel.classfile.ClassFormatException,zest,20,1.0
bcel,9,org.apache.bcel.classfile.ClassFormatException,zest,30,1.0
