benchmark,repetition_id,exception,tool,mtf,repeatibility
ant,1,java.lang.IllegalStateException,zest,365,1.0
ant,2,java.lang.IllegalStateException,zest,163,1.0
ant,3,java.lang.IllegalStateException,zest,119,1.0
ant,4,java.lang.IllegalStateException,zest,136,1.0
ant,5,java.lang.IllegalStateException,zest,86,1.0
ant,6,java.lang.IllegalStateException,zest,308,1.0
ant,7,java.lang.IllegalStateException,zest,64,1.0
ant,8,java.lang.IllegalStateException,zest,94,1.0
ant,9,java.lang.IllegalStateException,zest,322,1.0
ant,10,java.lang.IllegalStateException,zest,136,1.0
ant,11,java.lang.IllegalStateException,zest,106,1.0
ant,12,java.lang.IllegalStateException,zest,105,1.0
ant,13,java.lang.IllegalStateException,zest,127,1.0
ant,14,java.lang.IllegalStateException,zest,274,1.0
ant,15,java.lang.IllegalStateException,zest,89,1.0
ant,16,java.lang.IllegalStateException,zest,130,1.0
ant,17,java.lang.IllegalStateException,zest,147,1.0
ant,18,java.lang.IllegalStateException,zest,82,1.0
ant,19,java.lang.IllegalStateException,zest,246,1.0
ant,20,java.lang.IllegalStateException,zest,127,1.0
ant,21,java.lang.IllegalStateException,zest,240,1.0
ant,22,java.lang.IllegalStateException,zest,91,1.0
ant,23,java.lang.IllegalStateException,zest,91,1.0
ant,1,java.lang.IllegalStateException,pest,82,1.0
ant,2,java.lang.IllegalStateException,pest,154,1.0
ant,3,java.lang.IllegalStateException,pest,231,1.0
ant,4,java.lang.IllegalStateException,pest,64,1.0
ant,5,java.lang.IllegalStateException,pest,56,1.0
ant,6,java.lang.IllegalStateException,pest,94,1.0
ant,7,java.lang.IllegalStateException,pest,49,1.0
ant,8,java.lang.IllegalStateException,pest,96,1.0
ant,9,java.lang.IllegalStateException,pest,87,1.0
ant,10,java.lang.IllegalStateException,pest,128,1.0
ant,11,java.lang.IllegalStateException,pest,209,1.0
ant,12,java.lang.IllegalStateException,pest,102,1.0
ant,13,java.lang.IllegalStateException,pest,139,1.0
ant,14,java.lang.IllegalStateException,pest,46,1.0
ant,15,java.lang.IllegalStateException,pest,134,1.0
ant,16,java.lang.IllegalStateException,pest,157,1.0
ant,17,java.lang.IllegalStateException,pest,102,1.0
ant,18,java.lang.IllegalStateException,pest,96,1.0
ant,19,java.lang.IllegalStateException,pest,86,1.0
ant,20,java.lang.IllegalStateException,pest,79,1.0
ant,21,java.lang.IllegalStateException,pest,46,1.0
ant,22,java.lang.IllegalStateException,pest,79,1.0
ant,23,java.lang.IllegalStateException,pest,88,1.0
ant,1,java.lang.IllegalStateException,pest2,76,1.0
ant,2,java.lang.IllegalStateException,pest2,51,1.0
ant,3,java.lang.IllegalStateException,pest2,150,1.0
ant,4,java.lang.IllegalStateException,pest2,53,1.0
ant,5,java.lang.IllegalStateException,pest2,97,1.0
ant,6,java.lang.IllegalStateException,pest2,46,1.0
ant,7,java.lang.IllegalStateException,pest2,163,1.0
ant,8,java.lang.IllegalStateException,pest2,192,1.0
ant,9,java.lang.IllegalStateException,pest2,171,1.0
ant,10,java.lang.IllegalStateException,pest2,100,1.0
ant,11,java.lang.IllegalStateException,pest2,95,1.0
ant,12,java.lang.IllegalStateException,pest2,73,1.0
ant,13,java.lang.IllegalStateException,pest2,106,1.0
ant,14,java.lang.IllegalStateException,pest2,74,1.0
ant,15,java.lang.IllegalStateException,pest2,63,1.0
ant,16,java.lang.IllegalStateException,pest2,221,1.0
ant,17,java.lang.IllegalStateException,pest2,294,1.0
ant,18,java.lang.IllegalStateException,pest2,61,1.0
ant,19,java.lang.IllegalStateException,pest2,56,1.0
ant,20,java.lang.IllegalStateException,pest2,26,1.0
ant,21,java.lang.IllegalStateException,pest2,119,1.0
ant,22,java.lang.IllegalStateException,pest2,355,1.0
ant,23,java.lang.IllegalStateException,pest2,84,1.0
closure,1,java.lang.NullPointerException,zest,5,1.0
closure,2,java.lang.NullPointerException,zest,35,1.0
closure,3,java.lang.NullPointerException,zest,14,1.0
closure,4,java.lang.NullPointerException,zest,1081,1.0
closure,5,java.lang.NullPointerException,zest,6,1.0
closure,6,java.lang.NullPointerException,zest,3,1.0
closure,7,java.lang.NullPointerException,zest,8,1.0
closure,8,java.lang.NullPointerException,zest,2,1.0
closure,9,java.lang.NullPointerException,zest,10,1.0
closure,10,java.lang.NullPointerException,zest,3,1.0
closure,11,java.lang.NullPointerException,zest,10,1.0
closure,12,java.lang.NullPointerException,zest,2,1.0
closure,13,java.lang.NullPointerException,zest,7,1.0
closure,14,java.lang.NullPointerException,zest,20,1.0
closure,15,java.lang.NullPointerException,zest,198,1.0
closure,16,java.lang.NullPointerException,zest,20,1.0
closure,17,java.lang.NullPointerException,zest,8,1.0
closure,18,java.lang.NullPointerException,zest,2,1.0
closure,19,java.lang.NullPointerException,zest,13,1.0
closure,20,java.lang.NullPointerException,zest,7,1.0
closure,21,java.lang.NullPointerException,zest,21,1.0
closure,22,java.lang.NullPointerException,zest,9,1.0
closure,23,java.lang.NullPointerException,zest,169,1.0
closure,1,java.lang.NullPointerException,pest,4,1.0
closure,2,java.lang.NullPointerException,pest,2,1.0
closure,3,java.lang.NullPointerException,pest,33,1.0
closure,4,java.lang.NullPointerException,pest,19,1.0
closure,5,java.lang.NullPointerException,pest,8,1.0
closure,6,java.lang.NullPointerException,pest,7,1.0
closure,7,java.lang.NullPointerException,pest,28,1.0
closure,8,java.lang.NullPointerException,pest,4,1.0
closure,9,java.lang.NullPointerException,pest,44,1.0
closure,10,java.lang.NullPointerException,pest,5,1.0
closure,11,java.lang.NullPointerException,pest,4,1.0
closure,12,java.lang.NullPointerException,pest,8,1.0
closure,13,java.lang.NullPointerException,pest,2,1.0
closure,14,java.lang.NullPointerException,pest,8,1.0
closure,15,java.lang.NullPointerException,pest,3,1.0
closure,16,java.lang.NullPointerException,pest,10,1.0
closure,17,java.lang.NullPointerException,pest,2,1.0
closure,18,java.lang.NullPointerException,pest,3,1.0
closure,19,java.lang.NullPointerException,pest,14,1.0
closure,20,java.lang.NullPointerException,pest,11,1.0
closure,21,java.lang.NullPointerException,pest,21,1.0
closure,22,java.lang.NullPointerException,pest,13,1.0
closure,23,java.lang.NullPointerException,pest,19,1.0
closure,1,java.lang.NullPointerException,pest2,53,1.0
closure,2,java.lang.NullPointerException,pest2,39,1.0
closure,3,java.lang.NullPointerException,pest2,7,1.0
closure,4,java.lang.NullPointerException,pest2,4,1.0
closure,5,java.lang.NullPointerException,pest2,10,1.0
closure,6,java.lang.NullPointerException,pest2,20,1.0
closure,7,java.lang.NullPointerException,pest2,27,1.0
closure,8,java.lang.NullPointerException,pest2,2,1.0
closure,9,java.lang.NullPointerException,pest2,1,1.0
closure,10,java.lang.NullPointerException,pest2,19,1.0
closure,11,java.lang.NullPointerException,pest2,4,1.0
closure,12,java.lang.NullPointerException,pest2,5,1.0
closure,13,java.lang.NullPointerException,pest2,75,1.0
closure,14,java.lang.NullPointerException,pest2,3,1.0
closure,15,java.lang.NullPointerException,pest2,21,1.0
closure,16,java.lang.NullPointerException,pest2,17,1.0
closure,17,java.lang.NullPointerException,pest2,9,1.0
closure,18,java.lang.NullPointerException,pest2,57,1.0
closure,19,java.lang.NullPointerException,pest2,8,1.0
closure,20,java.lang.NullPointerException,pest2,8,1.0
closure,21,java.lang.NullPointerException,pest2,9,1.0
closure,22,java.lang.NullPointerException,pest2,19,1.0
closure,23,java.lang.NullPointerException,pest2,23,1.0
rhino,1,java.lang.IllegalStateException,zest,16,1.0
rhino,2,java.lang.IllegalStateException,zest,15,1.0
rhino,3,java.lang.IllegalStateException,zest,72,1.0
rhino,4,java.lang.IllegalStateException,zest,8,1.0
rhino,5,java.lang.IllegalStateException,zest,26,1.0
rhino,6,java.lang.IllegalStateException,zest,7,1.0
rhino,7,java.lang.IllegalStateException,zest,13,1.0
rhino,8,java.lang.IllegalStateException,zest,7,1.0
rhino,9,java.lang.IllegalStateException,zest,8,1.0
rhino,10,java.lang.IllegalStateException,zest,26,1.0
rhino,11,java.lang.IllegalStateException,zest,49,1.0
rhino,12,java.lang.IllegalStateException,zest,2,1.0
rhino,13,java.lang.IllegalStateException,zest,6,1.0
rhino,14,java.lang.IllegalStateException,zest,19,1.0
rhino,15,java.lang.IllegalStateException,zest,20,1.0
rhino,16,java.lang.IllegalStateException,zest,10,1.0
rhino,17,java.lang.IllegalStateException,zest,22,1.0
rhino,18,java.lang.IllegalStateException,zest,6,1.0
rhino,19,java.lang.IllegalStateException,zest,33,1.0
rhino,20,java.lang.IllegalStateException,zest,25,1.0
rhino,21,java.lang.IllegalStateException,zest,12,1.0
rhino,22,java.lang.IllegalStateException,zest,6,1.0
rhino,23,java.lang.IllegalStateException,zest,19,1.0
rhino,1,java.lang.IllegalStateException,pest,4,1.0
rhino,2,java.lang.IllegalStateException,pest,7,1.0
rhino,3,java.lang.IllegalStateException,pest,10,1.0
rhino,4,java.lang.IllegalStateException,pest,8,1.0
rhino,5,java.lang.IllegalStateException,pest,3,1.0
